127.0.0.1 - - [03/May/2024:09:44:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2024:09:44:37 +0530] "GET /Shopify-Application/index.jsp HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [03/May/2024:09:44:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2024:09:49:34 +0530] "GET /Shopify-Application/index.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [03/May/2024:09:49:34 +0530] "GET /Shopify-Application/index.css HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [03/May/2024:09:56:43 +0530] "GET /Shopify-Application/index.jsp HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [03/May/2024:09:56:43 +0530] "GET /Shopify-Application/index.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/May/2024:09:56:43 +0530] "GET /Shopify-Application/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:14:09 +0530] "GET /Shopify-Application/index.jsp HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [03/May/2024:10:14:09 +0530] "GET /Shopify-Application/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:14:09 +0530] "GET /Shopify-Application/index.js HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [03/May/2024:10:14:25 +0530] "GET /Shopify-Application/index.jsp HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [03/May/2024:10:14:25 +0530] "GET /Shopify-Application/index.js HTTP/1.1" 304 -
